type,id,lat,lon,timestamp,version,changeset,user,uid,tags/branch,tags/brand,tags/brand:en,tags/brand:ja,tags/brand:wikidata,tags/brand:wikipedia,tags/name,tags/name:en,tags/name:ja,tags/name:ja-Latn,tags/name:ja_kana,tags/name:ja_rm,tags/opening_hours,tags/shop,tags/smoking,tags/source,tags/wheelchair,tags/addr:full,tags/addr:postcode,tags/atm,tags/internet_access,tags/level,tags/name:ko,tags/official_name:en,tags/operator,tags/phone,tags/website,tags/check_date,tags/operator:en,tags/operator:ja,tags/addr:block_number,tags/addr:city,tags/addr:housenumber,tags/addr:neighbourhood,tags/addr:province,tags/contact:phone,tags/name:es,tags/name:fr,tags/name:zh,tags/addr:quarter,tags/start_date,tags/wikidata,tags/wikipedia,tags/addr:suburb,tags/contact:twitter,tags/email,tags/source:phone,tags/toilets:wheelchair,tags/layer,tags/int_name,tags/addr:floor,tags/addr:housename,tags/description,tags/operator:wikidata,tags/operator:wikipedia,tags/fixme,tags/alt_name,tags/air_conditioning,tags/currency:JPY,tags/fax,tags/internet_access:fee,tags/payment:cards,tags/payment:cash,tags/payment:coins,tags/payment:credit_cards,tags/toilets,tags/natural,tags/official_name,tags/official_name:ja,tags/wheelchair:description,tags/second_hand,tags/clothes,tags/cuisine,tags/branch:en,tags/branch:ja,tags/short_name,tags/wikimedia_commons,tags/alt_name:en,tags/addr:country,tags/addr:housename:en,tags/shop:anime,tags/shop:books,tags/shop:comic_goods,tags/shop:doujinshi,tags/shop:figurines,tags/shop:games,tags/shop:manga,tags/shop:music,tags/shop:videos,tags/delivery,tags/wifi,tags/fixme:ja,tags/building:levels,tags/addr:street,tags/amenity,tags/toilets:access,tags/note,tags/crossing,tags/crossing:island,tags/crossing:markings,tags/highway,tags/tactile_paving,tags/name:ru,tags/addr:city:en,tags/addr:neighbourhood:ja-Latn,tags/contact:fax,tags/shop:cosplay,tags/website:en,tags/tourism,tags/contact:facebook,tags/addr:room,tags/male,tags/payment:waon,tags/takeaway,tags/organic,tags/addr:flats,tags/contact:instagram,tags/sport,tags/internet_access:ssid,tags/name:ja-Hira,tags/outdoor_seating,tags/check_date:currency:XBT,tags/currency:XBT,tags/brand:ja-Latn,tags/contact:website,tags/level:ref,tags/addr:province:en,tags/beauty,tags/massage,tags/payment:mastercard,tags/payment:visa,tags/check_date:opening_hours,tags/opening_hours:signed,tags/service:vehicle:car_sales,tags/service:vehicle:used_car_sales,tags/memo,tags/brand:zh,tags/url,tags/disused:contact:facebook,tags/disused:contact:instagram,tags/bulk_purchase,tags/zero_waste,tags/name:nl,tags/diet:vegan,tags/craft,tags/network,tags/network:wikidata,tags/payment:american_express,tags/payment:diners_club,tags/payment:discover_card,tags/payment:jcb,tags/healthcare,tags/brand:website,tags/payment:alipay,tags/payment:au_pay,tags/payment:d_barai,tags/payment:edy,tags/payment:icsf,tags/payment:id,tags/payment:line_pay,tags/payment:merpay,tags/payment:nanaco,tags/payment:others,tags/payment:paypay,tags/payment:pitapa,tags/payment:quicpay,tags/payment:rakuten_pay,tags/payment:unionpay,tags/payment:wechat,tags/model,tags/image,tags/opening_hours:covid19,tags/copy_facility,tags/self_service,tags/branch:zh,tags/short_name:en,tags/short_name:ja,tags/books,tags/self_checkout,tags/payment:lightning,tags/payment:lightning_contactless,tags/payment:onchain,tags/payment:prepaid_ticket,tags/branch:es,tags/payment:jcoin_pay,tags/payment:smart_code,tags/payment:yucho_pay,tags/female,tags/payment:contactless,tags/addr:quarter:en,tags/source:opening_hours,tags/payment:debit_cards,tags/contact:line,tags/anime:costume,tags/checked_date,tags/clothes:costumes,tags/clothes:for,tags/contact:yelp,tags/payment:app,tags/payment:apple_pay,tags/payment:google_pay,tags/payment:notes,tags/trade,tags/indoor_seating,tags/toilets:disposal,tags/toilets:handwashing,tags/toilets:paper_supplied,tags/toilets:position,tags/addr:building,tags/addr:ward,tags/contact:tiktok,tags/description:en,tags/description:es,tags/description:fr,tags/description:ja,tags/description:ko,tags/fashion,nodes/0,nodes/1,nodes/2,nodes/3,nodes/4,nodes/5,nodes/6,nodes/7,nodes/8,nodes/9,nodes/10,nodes/11,nodes/12,nodes/13,nodes/14,nodes/15,nodes/16,nodes/17,nodes/18,nodes/19,nodes/20,nodes/21,nodes/22,nodes/23,nodes/24,nodes/25,nodes/26,nodes/27,nodes/28,nodes/29,nodes/30,nodes/31,nodes/32,nodes/33,tags/building,tags/building:material,tags/building:colour,tags/height,tags/roof:colour,tags/landuse,nodes/34,nodes/35,nodes/36,nodes/37,nodes/38,nodes/39,nodes/40,tags/old_name,tags/old_name:en,tags/building:levels:underground,nodes/41,nodes/42,nodes/43,nodes/44,nodes/45,nodes/46,nodes/47,nodes/48,nodes/49,tags/alt_name:ja-Hira,tags/alt_name:ja-Latn,tags/architect,tags/location,tags/hairdresser,nodes/50,nodes/51,nodes/52,nodes/53,nodes/54,nodes/55,tags/assembly_point:unable_to_move,tags/emergency,tags/indoor,tags/room,tags/name:he,tags/architect:wikidata,tags/building:wikidata,tags/contact:tripadvisor,tags/roof:shape,tags/survey:date,tags/information,tags/alt_name:fr,members/0/type,members/0/ref,members/0/role,members/1/type,members/1/ref,members/1/role,tags/type
node,597715262,35.6623242,139.6968304,2023-07-08T15:22:20Z,8,138267862,ffff23,10888797,,LAWSON,LAWSON,ローソン,Q1557223,,ローソン,Lawson,ローソン,Rōson,,,,convenience,,,,,,,,,로손,,ローソン,,,,LAWSON,ローソン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,603902286,35.669069,139.6893382,2023-11-07T19:07:26Z,8,143750169,b-jazz-bot,9451067,富ヶ谷一丁目,LAWSON,LAWSON,ローソン,Q1557223,ja:ローソン,ローソン,Lawson,ローソン,,,Rōson,24/7,convenience,,Bing 2010; (URL),limited,,,,,0,로손,,ローソン,+81-3-34697576,https://www.lawson.co.jp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,603927943,35.6704756,139.6837141,2021-06-23T19:15:04Z,2,106856918,Yuxian,10084645,,カクヤス,Kakuyasu,カクヤス,Q11293990,ja:カクヤス,カクヤス,Kakuyasu,カクヤス,,,,,alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,614219161,35.6478049,139.7089918,2025-06-20T16:53:52Z,10,167879604,gc27,7130304,メトロ恵比寿駅前店,FamilyMart,FamilyMart,ファミリーマート,Q11247682,en:FamilyMart,ファミリーマート,FamilyMart,ファミリーマート,,,Famirī Mato,,convenience,,,limited,,,,,,,,ファミリーマート,,,,FamilyMart,ファミリーマート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,617028913,35.6488023,139.7095875,2024-11-01T00:55:30Z,10,158602508,ikiya,69966,,LAWSON,LAWSON,ローソン,Q1557223,ja:ローソン,ローソン,Lawson,ローソン,,,Rōson,,convenience,,,,,,,,,로손,,ローソン (LAWSON),,,,LAWSON,ローソン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,625563981,35.6550182,139.6966856,2025-07-03T05:50:44Z,7,168427504,wheelmap_visitor,290680,,LAWSON,LAWSON,ローソン,Q1557223,ja:ローソン,ローソン,Lawson,ローソン,,,Rōson,,convenience,,,yes,,,,,,로손,,ローソン (LAWSON),,,,LAWSON,ローソン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,670349175,35.6737835,139.666691,2025-07-07T19:01:55Z,12,168619644,gc27,7130304,渋谷笹塚駅前,セブン-イレブン,7-Eleven,セブン-イレブン,Q259340,en:7-Eleven,セブン-イレブン,7-Eleven,セブン-イレブン,,,Sebun Irebun,24/7,convenience,,"Bing 2010, (URL)",no,,151-0073,yes,wlan,,세븐일레븐,Seven-Eleven,セブンイレブン・ジャパン,+81 3-5371-1891,https://www.sej.co.jp/,,,,57,渋谷区,22,笹塚一丁目,東京都,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,670356702,35.674413,139.6645413,2010-03-20T12:33:41Z,1,4178874,Nahainec,96268,,,,,,,玉屋,,,,,,,greengrocer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,686510448,35.6474127,139.707292,2020-09-24T09:04:13Z,8,91420689,MapperMudkip,8420564,,ローソン,LAWSON,ローソン,Q1557223,ja:ローソン,ローソン,Lawson,ローソン,,,Rōson,,convenience,,,,,,,,,로손,,ローソン (LAWSON),,,,LAWSON,ローソン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,686573594,35.6473083,139.7083017,2020-09-24T09:04:13Z,9,91420689,MapperMudkip,8420564,,ファミリーマート,FamilyMart,ファミリーマート,Q1191685,en:FamilyMart,ファミリーマート,FamilyMart,ファミリーマート,,,Famirī Mato,,convenience,,photo,,,,,,,,,ファミリーマート,,,,FamilyMart,ファミリーマート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
